fragment_id,event_id,start_frame,end_frame,start_time_ns,end_time_ns,duration_ns
62,0,0,8,0.0,0.008000000023851246,0.008000000023851246
84,0,3,8,0.003000000008944217,0.008000000023851246,0.005000000014907029
140,0,0,8,0.0,0.008000000023851246,0.008000000023851246
154,0,0,8,0.0,0.008000000023851246,0.008000000023851246
184,0,5,8,0.005000000014907029,0.008000000023851246,0.003000000008944217
189,0,0,8,0.0,0.008000000023851246,0.008000000023851246
226,0,0,8,0.0,0.008000000023851246,0.008000000023851246
234,0,0,8,0.0,0.008000000023851246,0.008000000023851246
279,0,3,8,0.003000000008944217,0.008000000023851246,0.005000000014907029
304,0,0,8,0.0,0.008000000023851246,0.008000000023851246
306,0,0,8,0.0,0.008000000023851246,0.008000000023851246
319,0,5,8,0.005000000014907029,0.008000000023851246,0.003000000008944217
342,0,5,8,0.005000000014907029,0.008000000023851246,0.003000000008944217
371,0,0,8,0.0,0.008000000023851246,0.008000000023851246
390,0,0,8,0.0,0.008000000023851246,0.008000000023851246
393,0,0,8,0.0,0.008000000023851246,0.008000000023851246
411,0,0,8,0.0,0.008000000023851246,0.008000000023851246
414,0,0,8,0.0,0.008000000023851246,0.008000000023851246
416,0,5,8,0.005000000014907029,0.008000000023851246,0.003000000008944217
432,0,0,8,0.0,0.008000000023851246,0.008000000023851246
433,0,6,8,0.006000000017888434,0.008000000023851246,0.002000000005962812
512,0,5,8,0.005000000014907029,0.008000000023851246,0.003000000008944217
542,0,0,8,0.0,0.008000000023851246,0.008000000023851246
570,0,0,6,0.0,0.006000000017888434,0.006000000017888434
657,0,0,8,0.0,0.008000000023851246,0.008000000023851246
668,0,0,8,0.0,0.008000000023851246,0.008000000023851246
678,0,6,8,0.006000000017888434,0.008000000023851246,0.002000000005962812
695,0,0,8,0.0,0.008000000023851246,0.008000000023851246
697,0,5,8,0.005000000014907029,0.008000000023851246,0.003000000008944217
746,0,0,8,0.0,0.008000000023851246,0.008000000023851246
756,0,0,8,0.0,0.008000000023851246,0.008000000023851246
760,0,0,8,0.0,0.008000000023851246,0.008000000023851246
852,0,5,8,0.005000000014907029,0.008000000023851246,0.003000000008944217
864,0,0,8,0.0,0.008000000023851246,0.008000000023851246
879,0,0,8,0.0,0.008000000023851246,0.008000000023851246
885,0,0,8,0.0,0.008000000023851246,0.008000000023851246
890,0,5,8,0.005000000014907029,0.008000000023851246,0.003000000008944217
905,0,0,8,0.0,0.008000000023851246,0.008000000023851246
934,0,0,8,0.0,0.008000000023851246,0.008000000023851246
951,0,5,8,0.005000000014907029,0.008000000023851246,0.003000000008944217
958,0,0,8,0.0,0.008000000023851246,0.008000000023851246
