property,value
psf_file,data/short/0HPt.psf
dcd_file,data/short/Pt+0HNEC.dcd
n_total_atoms,54507
n_pt_atoms,561
n_nec_fragments,999
n_frames,9
integration_timestep_fs,1.0000000029814058
steps_per_frame,1000
time_between_frames_ns,0.0010000000029814057
start_time_ns,0.0
end_time_ns,0.008000000023851246
total_time_ns,0.008000000023851246
box_lengths,"[75.0, 75.0, 75.0]"
atom_type_counts,"{'C1': 394, 'C10': 394, 'C11': 394, 'C12': 394, 'C13': 394, 'C14': 394, 'C15': 393, 'C16': 393, 'C17': 393, 'C18': 393, 'C19': 393, 'C2': 394, 'C20': 393, 'C21': 393, 'C22': 393, 'C23': 393, 'C24': 393, 'C25': 393, 'C26': 393, 'C27': 393, 'C28': 393, 'C29': 212, 'C3': 394, 'C30': 212, 'C31': 212, 'C32': 212, 'C33': 212, 'C34': 212, 'C35': 212, 'C36': 212, 'C37': 212, 'C38': 212, 'C39': 212, 'C4': 394, 'C40': 212, 'C41': 212, 'C42': 212, 'C5': 394, 'C6': 394, 'C7': 394, 'C8': 394, 'C9': 394, 'H1': 394, 'H10': 394, 'H11': 394, 'H12': 394, 'H13': 394, 'H14': 394, 'H15': 394, 'H16': 394, 'H17': 394, 'H18': 394, 'H19': 394, 'H2': 394, 'H20': 394, 'H21': 394, 'H22': 394, 'H23': 394, 'H24': 394, 'H25': 394, 'H26': 394, 'H27': 394, 'H28': 394, 'H29': 394, 'H3': 394, 'H30': 394, 'H31': 394, 'H32': 394, 'H33': 394, 'H34': 394, 'H35': 394, 'H36': 394, 'H37': 394, 'H38': 394, 'H39': 394, 'H4': 394, 'H40': 394, 'H41': 394, 'H42': 394, 'H43': 394, 'H44': 394, 'H45': 394, 'H46': 394, 'H47': 394, 'H48': 394, 'H49': 394, 'H5': 394, 'H50': 394, 'H51': 394, 'H52': 394, 'H53': 394, 'H54': 394, 'H55': 393, 'H56': 393, 'H57': 393, 'H58': 393, 'H59': 393, 'H6': 394, 'H60': 393, 'H61': 393, 'H62': 393, 'H63': 393, 'H64': 393, 'H65': 393, 'H66': 393, 'H67': 393, 'H68': 393, 'H69': 393, 'H7': 394, 'H70': 393, 'H71': 393, 'H72': 393, 'H73': 393, 'H74': 393, 'H75': 393, 'H76': 393, 'H77': 393, 'H78': 393, 'H79': 393, 'H8': 394, 'H80': 393, 'H81': 393, 'H82': 393, 'H83': 393, 'H84': 393, 'H85': 393, 'H86': 393, 'H87': 393, 'H88': 393, 'H89': 393, 'H9': 394, 'H90': 393, 'H91': 393, 'H92': 393, 'H93': 393, 'H94': 393, 'H95': 393, 'H96': 393, 'H97': 393, 'H98': 393, 'H99': 393, 'N1': 394, 'N2': 393, 'N3': 212, 'PT1': 63, 'PT2': 63, 'PT3': 63, 'PT4': 62, 'PT5': 62, 'PT6': 62, 'PT7': 62, 'PT8': 62, 'PT9': 62}"
